"","translatedText","text"
"253","two","dois"
"254","Good","bons"
"255","we are done","acabamos"
"256","Tue","ter"
"257","year","ano"
"258","best","melhor"
"259","still","ainda"
"260","specialist","especialista"
"261","Really","sério"
"262","to predict","preveja"
"263","other","outra"
"264","thing","coisa"
"265","long","longo"
"266","period","período"
"267","conditions","condições"
"268","international","internacionais"
"269","favorable","favoráveis"
"270","Weight","peso"
"271","suffocates","sufoca"
"272","inside","dentro"
"273","plant","planta"
"274","sound","sadia"
"275","long","longa"
"276","drought","estiagem"
"277","roots","raízes"
"278","companies","empresas"
"279","produce","produzem"
"280","wealth","riqueza"
"281","resisted","resistiram"
"282","rigors","rigores"
"283","stagnation","estagnação"
"284","survived","sobreviveram"
"285","they left","saíram"
"286","strong","fortes"
"287","ordeal","provação"
"288","businessmen","empresários"
"289","they knew","souberam"
"290","innovate","inovar"
"291","redo","refazer"
"292","factories","fábricas"
"293","offices","escritórios"
"294","to win","vencer"
"295","difficulties","dificuldades"
"296","workers","trabalhadores"
"297","face","enfrentar"
"298","roughness","agruras"
"299","will","arbítrio"
"300","recession","recessão"
"301","challenges","desafios"
"302","technologies","tecnologias"
"303","reorganized","reorganizaram"
"304","unions","sindicatos"
"305","to be","serem"
"306","able","capazes"
"307","claim","reivindicar"
"308","rights","direitos"
"309","part","parte"
"310","cake","bolo"
"311","economic","econômico"
"312","has arrived","chegou"
"313","grow up","crescer"
"314","to bloom","florescer"
"315","important","importante"
"316","we know","sabemos"
"317","do","fazer"
"318","to sustain","sustentar"
"319","let's go","vamos"
"320","by the way","aliás"
"321","making","fazendo"
"322","Many","muitos"
"323","doubted","duvidaram"
"324","put on","colocar"
"325","own","própria"
"326","House","casa"
"327","order","ordem"
"328","We started","começamos"
"329","fix it","arrumála"
"330","in these","nestes"
"331","Give way","ceder"
"332","millimeter","milímetro"
"333","to break","quebrar"
"334","contracts","contratos"
"335","to injure","lesar"
"336","superinflation","superinflação"
"337","we must","devemos"
"338","reminisced","refizeram"
"339","directions","rumos"
"340","itamar","itamar"
"341","frank","franco"
"342","earned","granjeou"
"343","respect","respeito"
"344","simplicity","simplicidade"
"345","honesty","honestidade"
"346","leaves","deixa"
"347","surrounded","cercado"
"348","esteem","estima"
"349","to deserve","merecer"
"350","appreciate","agradeço"
"351","name","nome"
"352","nation","nação"
"353","opportunities","oportunidades"
"354","provided","proporcionou"
"355","to choose","escolher"
"356","me","mim"
"357","to succeed","sucedêlo"
"358","option","opção"
"359","continuity","continuidade"
"360","plan","plano"
"361","real","real"
"362","reforms","reformas"
"363","structural","estruturais"
"364","needed","necessárias"
"365","to put away","afastar"
"366","turn","vez"
"367","all","todas"
"368","ghost","fantasma"
"369","I will dedicate","dedicarei"
"370","all","toda"
"371","energy","energia"
"372","counting","contando"
"373","support","apoio"
"374","States","estados"
"375","forces","forças"
"376","alive","vivas"
"377","therefore","portanto"
"378","lack","falta"
"379","great","grande"
"380","challenge","desafio"
"381","century","século"
"382","goal","objetivo"
"383","number","número"
"384","joaquim","joaquim"
"385","nabuco","nabuco"
"386","propagandist","propagandista"
"387","abolitionism","abolicionismo"
"388","I thought","pensava"
"389","yes","si"
"390","companions","companheiros"
"391","headlines","titulares"
"392","""mandate","“mandato"
"393","breed","raça"
"394","black ""","negra”"
"395","-","—"
"396","mandate","mandato"
"397","given away","dado"
"398","slaves","escravos"
"399","because","pois"
"400","means","meios"
"401","complain","reclamar"
"402","assumed","assumiam"
"403","feel","sentirem"
"404","heart","coração"
"405","horror","horror"
"406","slavery","escravidão"
"407","understand","entenderem"
"408","shackles","grilhões"
"409","maintained","mantinham"
"410","all","inteiro"
"411","stuck","preso"
"412","delay","atraso"
"413","political","político"
"414","we horrify","horrorizamos"
"415","seeing","vendo"
"416","countrymen","compatriotas"
"417","beings","seres"
"418","humans","humanos"
"419","side","lado"
"420","subdued","subjugados"
"421","hunger","fome"
"422","disease","doença"
"423","ignorance","ignorância"
"424","can","pode"
"425","Continue","continuar"
"426","such","tal"
"427","movement","movimento"
"428","I represent","represento"
"429","against","contra"
"430","would you like","quer"
"431","share","dividir"
"432","unila","unila"
"433","lathe","torno"
"434","perspective","perspectiva"
"435","tomorrow","amanhã"
"436","contrary","contrário"
"437","gift","presente"
"438","came","veio"
"439","vote","voto"
"440","regardless","independentemente"
"441","condition","condição"
"442","excluded","excluídos"
"443","humble","humildes"
"444","they paid","pagavam"
"445","account","conta"
"446","have","terem"
"447","defend","defender"
"448","humiliated","humilhados"
"449","rows","filas"
"450","hospitals","hospitais"
"451","foresight","previdência"
"452","they win","ganham"
"453","little","pouco"
"454","give","dão"
"455","fields","campos"
"456","stores","lojas"
"457","roads","estradas"
"458","schools","escolas"
"459","flowerbeds","canteiros"
"460","work","obra"
"461","cry out","clamam"
"462","has","têm"
"463","consciousness","consciência"
"464","disposition","disposição"
"465","fight","lutar"
"466","I should","devo"
"467","election","eleição"
"468","I will","vou"
"469","to rule","governar"
"470","need","preciso"
"471","end","acabar"
"472","privileges","privilégios"
"473","doubt","duvide"
"474","I will be","estarei"
"475","serenity","serenidade"
"476","shape","feitio"
"477","firmness","firmeza"
"478","seeking out","buscando"
"479","ever","sempre"
"480","ways","caminhos"
"481","dialogue","diálogo"
"482","convincing","convencimento"
"483","to run away","fugir"
"484","responsibility","responsabilidade"
"485","decide","decidir"
"486","knowing","sabendo"
"487","wait","espera"
"488","miracles","milagres"
"489","to charge","cobrar"
"490","results","resultados"
"491","each","cada"
"492","came back","voltaram"
"493","to believe","acreditar"
"494","hurry","pressa"
"495","see him","vêlo"
"496","we see","vemos"
"497","satisfaction","satisfação"
"498","increases","aumenta"
"499","interest","interesse"
"500","others","outros"
"501","countries","países"
"502","efforts","esforços"
"503","consolidate","consolidar"
"504","adjust","ajustar"
"505","attack","atacar"
"506","problems","problemas"
"507","accompanied","acompanhados"
"508","expectancy","expectativa"
"509","positive","positiva"
"510","outdoor","exterior"
"511","perceive","percebem"
"512","transition","transição"
"513","slow","lenta"
"514","times","vezes"
"515","difficult","difícil"
"516","broad","ampla"
"517","deep","profunda"
"518","we restore","restauramos"
"519","freedoms","liberdades"
"520","democratic","democráticas"
"521","we started","iniciamos"
"522","reform","reforma"
"523","we build","construímos"
"524","base","base"
"525","solid","sólida"
"526","follow","seguir"
"527","forward","adiante"
"528","society","sociedade"
"529","to change","mudar"
"530","You know","sabe"
"531","at where","onde"
"532","go","ir"
"533","rhythm","ritmo"
"534","fast","veloz"
"535","communications","comunicações"
"536","opening","abertura"
"537","Brazilian","brasileira"
"538","leaving","deixando"
"539","back","trás"
"540","attitudes","atitudes"
"541","xenophobes","xenófobas"
"542","It is made","efeito"
"543","relative","relativo"
"544","closure","fechamento"
"545","past","passado"
"546","of this","disso"
"547","implies","implica"
"548","to waive","renunciar"
"549","fraction","fração"
"550","sovereignty","soberania"
"551","neglect","descuidar"
"552","garment","garantila"
"553","chief commander","comandantechefe"
"554","armed","armadas"
"555","attentive","atento"
"556","needs","necessidades"
"557","modernization","modernização"
"558","have reached","atinjam"
"559","levels","níveis"
"560","operability","operacionalidade"
"561","fittings","condizentes"
"562","stature","estatura"
"563","strategic","estratégica"
"564","commitments","compromissos"
"565","in this","nesse"
"566","sense","sentido"
"567","I will attribute","atribuirei"
"568","state mayor","estadomaior"
"569","new","novos"
"570","charges","encargos"
"571","beyond","além"
"572","settled down","estabelecidos"
"573","I will determine","determinarei"
"574","presentation","apresentação"
"575","proposals","propostas"
"576","studies","estudos"
"577","performed","realizados"
"578","set","conjunto"
"579","navy","marinha"
"580","army","exército"
"581","aeronautics","aeronáutica"
"582","drive","conduzir"
"583","adaptation","adaptação"
"584","gradual","gradual"
"585","defense","defesa"
"586","demands","demandas"
"587","cold","fria"
"588","importance","importância"
"589","It depends","depende"
"590","factors","fatores"
"591","military","militares"
"592","strategic","estratégicos"
"593","about everything","sobretudo"
"594","stability","estabilidade"
"595","politics","política"
"596","internal","interna"
"597","level","nível"
"598","general","geral"
"599","welfare","bemestar"
"600","signals","sinais"
"601","vital","vitais"
"602","capacity","capacidade"
"603","generate","gerar"
"604","Related Searches","empregos"
"605","technological","tecnológica"
"606","participation","participação"
"607","trade","comércio"
"608","International","internacional"
"609","diplomatic","diplomáticas"
"610","clear","claras"
"611","objective","objetivas"
"612","feasible","viáveis"
"613","achievement","realização"
"614","project","projeto"
"615","consistent","consistente"
"616","strengthen","fortalecer"
"617","increasingly","crescentemente"
"618","scenario","cenário"
"619","favorable","favorável"
"620","search","busque"
"621","active","ativa"
"622","context","contexto"
"623","identity","identidade"
"624","values","valores"
"625","permanent","permanentes"
"626","expressing","expressando"
"627","means","significa"
"628","reliability","confiabilidade"
"629","field","campo"
"630","changes","mudanças"
"631","abrupt","bruscas"
"632","off","desligadas"
"633","view","visão"
"634","term","prazo"
"635","can","podem"
"636","to satisfy","satisfazer"
"637","interests","interesses"
"638","conjunctural","conjunturais"
"639","they build","constroem"
"640","profile","perfil"
"641","responsible","responsável"
"642","Yet","contudo"
"643","fear","receio"
"644","indicate","indicarem"
"645","phase","fase"
"646","transformations","transformações"
"647","radicals","radicais"
"648","marked","marcada"
"649","reset","redefinição"
"650","rules","regras"
"651","coexistence","convivência"
"652","economic","econômica"
"653","we can","podemos"
"654","mere","mero"
"655","longing","saudosismo"
"656","back","costas"
"657","attentive","atentos"
"658","to influence","influenciar"
"659","drawing","desenho"
"660","new","nova"
"661","update","atualizar"
"662","speech","discurso"
"663","action","ação"
"664","leading","levando"
"665","system","sistema"
"666","new","novo"
"667","consensus","consenso"
"668","internal","interno"
"669","relationship","relação"
"670","goals","objetivos"
"671","to debate","debater"
"672","sovereign","soberana"
"673","transformation","transformação"
"674","involving","envolvendo"
"675","debate","debate"
"676","chancellery","chancelaria"
"677","university","universidade"
"678","organizations","organizações"
"679","governmental organizations","governamentais"
"680","retire","aposentar"
"681","old photos","velhos"
"682","dilemmas","dilemas"
"683","ideological","ideológicos"
"684","old","velhas"
"685","confrontation","confrontação"
"686","themes","temas"
"687","move","movem"
"688","cooperation","cooperação"
"689","conflict","conflito"
"690","days","dias"
"691","medium","meio"
"692","environment","ambiente"
"693","sustainable","sustentável"
"694","tasks","tarefas"
"695","enlarged","ampliadas"
"696","multilateralism","multilateralismo"
"697","regionalization","regionalização"
"698","promotion","dinamização"
"699","overcoming","superação"
"700","protectionism","protecionismo"
"701","unilateralism","unilateralismo"
"702","central","centrais"
"703","access","acesso"
"704","technology","tecnologia"
"705","proliferation","proliferação"
"706","combat","combate"
"707","crime","criminalidade"
"708","appreciate","valorizar"
"709","maximum","máximo"
"710","universal","universal"
"711","presence","presença"
"712","so much","tanto"
"713","allows","permite"
"714","deepen","aprofundar"
"715","schemes","esquemas"
"716","integration","integração"
"717","regional","regional"
"718","departing","partindo"
"719","mercosul","mercosul"
"720","to explore","explorar"
"721","dynamism","dinamismo"
"722","Europe","europa"
"723","unified","unificada"
"724","naphtha","nafta"
"725","Asia","ásia"
"726","Pacific","pacífico"
"727","identify","identificar"
"728","areas","áreas"
"729","potential","potencial"
"730","relations","relações"
"731","Africa","áfrica"
"732","south","sul"
"733","postpartum","pósapartheid"
"734","let's forget","esquecermos"
"735","traditional","tradicionais"
"736","continent","continente"
"737","African","africano"
"738","China","china"
"739","Russia","rússia"
"740","India","índia"
"741","dimension","dimensão"
"742","continental","continental"
"743","face","enfrentam"
"744","similar","semelhantes"
"745","effort","esforço"
"746","I believe","acredito"
"747","reserved","reservado"
"748","successful","bemsucedidos"
"749","planet","planeta"
"750","next","próximo"
"751","convinced","convencido"
"752","unique","únicos"
"753","obstacles","obstáculos"
"754","important","importantes"
"755","we will face","enfrentaremos"
"756","to occupy","ocupar"
"757","comes","vêm"
"758","imbalances","desequilíbrios"
"759","internal","internos"
"760","inequalities","desigualdades"
"761","extreme","extremas"
"762","regions","regiões"
"763","groups","grupos"
"764","give me","mede"
"765","amount","quantidade"
"766","things","coisas"
"767","produces","produz"
"768","true","verdadeiro"
"769","degree","grau"
"770","quality","qualidade"
"771","attention","atenção"
"772","people","gente"
"773","culture","cultura"
"774","Communication","comunicação"
"775","global","global"
"776","instantaneous","instantânea"
"777","public","públicos"
"778","fragments","fragmentam"
"779","specialize","especializam"
"780","cultural","cultural"
"781","become","torna"
"782","cement","cimento"
"783","countries","nações"
"784","homogeneity","homogeneidade"
"785","regionalisms","regionalismos"
"786","constitute","constituem"
"787","variations","variações"
"788","basic","básica"
"789","birth","nascida"
"790","meeting","encontro"
"791","tradition","tradição"
"792","western portuguese","ocidentalportuguesa"
"793","african","africana"
"794","indigenous","indígena"
"795","intellectuals","intelectuais"
"796","artists","artistas"
"797","producers","produtores"
"798","cultural","culturais"
"799","expression","expressão"
"800","genuine","genuína"
"801","I want","quero"
"802","honor them","prestigiálos"
"803","builders","construtores"
"804","citizenship","cidadania"
"805","right","direito"
"806","individual","indivíduo"
"807","proud","orgulho"
"808","style","estilo"
"809","own","próprios"
"810","priorities","prioridades"
"811","I proposed","propus"
"812","voter","eleitor"
"813","approved","aprovou"
"814","would repercussion","repercutem"
"815","directly","diretamente"
"816","life","vida"
"817","job","emprego"
"818","Cheers","saúde"
"819","safety","segurança"
"820","education","educação"
"821","production","produção"
"822","foods","alimentos"
"823","will come","virá"
"824","resumed","retomada"
"825","automatically","automaticamente"
"826","will be","estará"
"827","committed","empenhado"
"828","Software","programas"
"829","actions","ações"
"830","specific","específicas"
"831","will play","jogará"
"832","of this","desta"
"833","of that","daquela"
"834","region","região"
"835","decrease","diminuir"
"836","attendance","atendimento"
"837","elimination","eliminação"
"838","you wait","esperas"
"839","unnecessary","desnecessárias"
"840","waste","desperdício"
"841","cheats","fraudes"
"842","elements","elementos"
"843","So","tão"
"844","indispensable","indispensáveis"
"845","good","boa"
"846","management","gestão"
"847","how much","quanto"
"848","existence","existência"
"849","funds","verbas"
"850","suitable","adequadas"
"851","faced","encarada"
"852","mainly","principalmente"
"853","prevention","prevenção"
"854","cure","cura"
"855","Modern","moderna"
"856","includes","inclui"
"857","sanitation","saneamento"
"858","basic","básico"
"859","vaccination","vacinação"
"860","pasta","massa"
"861","food","alimentação"
"862","proper","adequada"
"863","sport","esporte"
"864","school","escola"
"865","need","precisa"
"866","come back","voltar"
"867","center","centro"
"868","process","processo"
"869","teaching","ensino"
"870","Function","função"
"871","teacher","professor"
"872","recovery","recuperação"
"873","salary","salário"
"874","parents","pais"
"875","solidarity","solidariedade"
"876","student","aluno"
"877","administration","administração"
"878","add","somam"
"879","to form","formar"
"880","citizens","cidadãos"
"881","jump","salto"
"882","imposes","impõe"
"883","threshold","limiar"
"884","millennium","milênio"
"885","to live","conviver"
"886","illiteracy","analfabetismo"
"887","semi-literacy","semianalfabetismo"
"888","poor","pobre"
"889","illusion","ilusão"
"890","find","achar"
"891","consumption","consumo"
"892","knickknacks","quinquilharias"
"893","""Modern""","“modernos”"
"894","children","crianças"
"895","to continue","continuarem"
"896","passing","passando"
"897","absorb","absorver"
"898","Minimum","mínimo"
"899","indispensable","indispensável"
"900","knowledge","conhecimento"
"901","to live","viver"
"902","modernity","modernidade"
"903","arrives","chega"
"904","ramp up","construir"
"905","Pharaonic","faraônicas"
"906","fill them","enchêlas"
"907","teachers","professores"
"908","bad","mal"
"909","payments","pagos"
"910","prepared","preparados"
"911","together","junto"
"912","unmotivated","desmotivados"
"913","materials","materiais"
"914","psychological","psicológicas"
"915","good","bom"
"916","exploitation","aproveitamento"
"917","exercise","exercermos"
"918","fullness","plenitude"
"919","misery","miséria"
"920","spiritual","espiritual"
"921","modern","modernos"
"922","help","ajudem"
"923","in this","nessa"
"924","assignment","tarefa"
"925","information","informação"
"926","fun","divertimento"
"927","engage","engajar"
"928","tvs","tvs"
"929","true","verdadeira"
"930","crusade","cruzada"
"931","rescue","resgate"
"932","through","através"
"933","starting","começando"
"934","intense","intensa"
"935","literacy","alfabetização"
"936","formation","formação"
"937","mission","missão"
"938","leave","partir"
"939","demand","demandar"
"940","reorganization","reorganização"
"941","machine","máquina"
"942","deteriorated","deteriorada"
"943","desmandos","desmandos"
"944","clutter","arrocho"
"945","financial","financeiro"
"946","patronage","clientelismo"
"947","corporatism","corporativismo"
"948","corruption","corrupção"
"949","suck","sugam"
"950","money","dinheiro"
"951","taxpayer","contribuinte"
"952","arrive","chegue"
"953","they should","deveriam"
"954","beneficiaries","beneficiários"
"955","legitimate","legítimos"
"956","area","área"
"957","cpis","cpis"
"958","measures","providências"
"959","energetic","enérgicas"
"960","sockets","tomadas"
"961","they started","começaram"
"962","cleaning","limpeza"
"963","these","desses"
"964","parasites","parasitas"
"965","last","últimos"
"966","to move","mexer"
"967","beetles","vespeiros"
"968","to complete","completar"
"969","cleaning","faxina"
"970","efficiency","eficiência"
"971","service","serviço"
"972","public","público"
"973","scare","assusta"
"974","know","sei"
"975","including","inclusive"
"976","employees","funcionários"
"977","love","amor"
"978","truth","verdade"
"979","person","pessoa"
"980","some","uns"
"981","revolution","revolução"
"982","Mentality","mentalidade"
"983","will","irá"
"984","to happen","acontecer"
"985","contest","concurso"
"986","paper","papel"
"987","fundamental","fundamental"
"988","I will take care","cuidarei"
"989","comply","cumpra"
"990","approve","aprove"
"991","constitution","constituição"
"992","laws","leis"
"993","some","algumas"
"994","which are","quais"
"995","I pointed out","apontei"
"996","farewell","despedida"
"997","senate","senado"
"998","opinion","opinião"
"999","public","pública"
"1000","mobilize","mobilize"
"1001","good","boas"
"1002","intentions","intenções"
"1003","die","morrem"
"1004","speeches","discursos"
"1005","We need","precisamos"
"1006","to sew","costurar"
"1007","of that","dessa"
"1008","power plug","tomada"
"1009","claim","reivindicação"
"1010","citizen","cidadã"
"1011","mobilization","mobilização"
"1012","to depend","depender"
"1013","fundamental","fundamentais"
"1014","redemocratization","redemocratização"
"1015","been","sido"
"1016","basic","básicos"
"1017","morality","moralidade"
"1018","now","agora"
"1019","central","central"
"1020","fair","justa"
"1021","keeping","mantendo"
"1022","criticism","crítica"
"1023","passion","paixão"
"1024","veracity","veracidade"
"1025","can","puderem"
"1026","informed","informados"
"1027","critics","críticos"
"1028","put","postas"
"1029","practice","prática"
"1030","folklore","folclore"
"1031","facts","fatos"
"1032","several","diversos"
"1033","everyday","cotidiana"
"1034","per","pôr"
"1035","events","acontecimentos"
"1036","coherence","coerência"
"1037","judgments","julgamentos"
"1038","intention","intenção"
"1039","trained","capacitados"
"1040","go","vão"
"1041","exercise","exercício"
"1042","feeling","sentimento"
"1043","move","move"
"1044","does","faz"
"1045","leave","sair"
"1046","circle","círculo"
"1047","small","pequeno"
"1048","particular","particulares"
"1049","to help","ajudar"
"1050","neighbor","vizinho"
"1051","classmate","colega"
"1052","compatriot","compatriota"
"1053","distant","distante"
"1054","supportive","solidário"
"1055","of this","desse"
"1056","spring","mola"
"1057","mutirão","mutirão"
"1058","uniting","unindo"
"1059","community","comunidade"
"1060","sweep","varrer"
"1061","map","mapa"
"1062","to secure","assegurar"
"1063","decent","decente"
"1064","taking","tirando"
"1065","abandonment","abandono"
"1066","putting","pondo"
"1067","whereabouts","paradeiro"
"1068","shameful","vergonhosos"
"1069","massacres","massacres"
"1070","equals","iguais"
"1071","women","mulheres"
"1072","job","trabalho"
"1073","minorities","minorias"
"1074","racial","raciais"
"1075","almost","quase"
"1076","blacks","negros"
"1077","expect","esperam"
"1078","equality","igualdade"
"1079","word","palavra"
"1080","portrait","retrato"
"1081","reality","realidade"
"1082","indigenous","indígenas"
"1083","some","alguns"
"1084","witnesses","testemunhas"
"1085","archeology","arqueologia"
"1086","human","humana"
"1087","diversity","diversidade"
"1088","yeast","fermento"
"1089","search","busca"
"1090","prosperous","próspero"
"1091","to press","pulsar"
"1092","strong","forte"
"1093","chest","peito"
"1094","Brazilian","brasileiro"
"1095","assurance","certeza"
"1096","to close","encerrar"
"1097","moved","comovida"
"1098","thanks","agradecimento"
"1099","generous","generoso"
"1100","determined","determinado"
"1101","elected","elegeu"
"1102","shift","turno"
"1103","accompany","acompanham"
"1104","family","família"
"1105","I knew","soube"
"1106","understand","compreender"
"1107","belonged","pertenci"
"1108","ceremony","cerimônia"
"1109","proclamation","proclamação"
"1110","electoral","eleitoral"
"1111","inn","empossa"
"1112","delegations","delegações"
"1113","friends","amigos"
"1114","honor","prestigiar"
"1115","act","ato"
"1116","invited","convidados"
"1117","citizens","cidadãs"
"1118","I ask","peço"
"1119","lots of","muita"
"1120","faith","fé"
"1121","summon","convoco"
"1122","thank you","obrigado"
"1123","I appear","compareço"
"1124","towards","perante"
"1125","to receive","receber"
"1126","Monday","segunda"
"1127","distinction","distinção"
"1128","men","homem"
"1129","be likely to","possa"
"1130","aspire","aspirar"
"1131","millions","milhões"
"1132","brazilian","brasileiras"
"1133","seniors","idosos"
"1134","live","moram"
"1135","cities","cidades"
"1136","they paid","sufragaram"
"1137","ideas","ideias"
"1138","defended","defendido"
"1139","undertaking","empreendendo"
"1140","to grant","concederem"
"1141","possibility","possibilidade"
"1142","accredited","credenciaram"
"1143","demand","exigir"
"1144","any","qualquer"
"1145","other","outro"
"1146","I will engage","empenharei"
"1147","dedication","dedicação"
"1148","match","corresponder"
"1149","ready","pronto"
"1150","journey","jornada"
"1151","feel","sinto"
"1152","renewed","renovado"
"1153","experience","experiência"
"1154","I could","pude"
"1155","learn","aprender"
"1156","hits","acertos"
"1157","mistakes","erros"
"1158","renewed","renovou"
"1159","physiognomy","fisionomia"
"1160","construction","construção"
"1161","relevance","relevância"
"1162","four","quatro"
"1163","waterways","hidrovias"
"1164","ports","portos"
"1165","airports","aeroportos"
"1166","promoted","promoveu"
"1167","telecommunications","telecomunicações"
"1168","has changed","mudou"
"1169","I speak","falo"
"1170","change","mudança"
"1171","I think","penso"
"1172","something","algo"
"1173","deep","profundo"
"1174","embracing","abrangente"
"1175","capillary","capilar"
"1176","plays","toca"
"1177","everyday","quotidiano"
"1178","improvement","melhora"
"1179","lives","vidas"
"1180","could","puderam"
"1181","to feed","alimentar"
"1182","seriousness","seriedade"
"1183","reason","razão"
