"","translatedText","text"
"16","""Golden years"" jk ended inflation high political tensions","“anos dourados”  jk terminaram  inflação  tensões políticas  alta"
"17","they came then somber years first brought back growth sacrificed freedom","vieram então anos sombrios  primeiro trouxeram  volta  crescimento  sacrificaram  liberdade"
"18","brought few progress","trouxeram progresso   poucos"
"19","only legacy - yes all - external debt tied economy inflation worsened social ills 1980s","somente  legado –  sim  todos –   dívida externa  amarrou  economia    inflação  agravou  mazelas sociais  década  1980"
"20","so I saw children born grandchildren dreaming struggling to see day development freedom justice - justice freedom development - would walk together on this earth","assim  vi  filhos nascerem   netos sonhando  lutando  divisar  dia    desenvolvimento  liberdade   justiça – justiça liberdade  desenvolvimento – andariam juntos nesta terra"
"21","I never doubted it.","nunca duvidei    dia chegaria"
"22","I never thought I could find a position I assume today I choose most fellow citizens lead walking towards Brazil dreams","nunca pensei   pudesse  encontrar  posição  assumo hoje escolhido  maioria   concidadãos  liderar  caminhada rumo  brasil   sonhos"
"23","arrogance absolute conviction say country will give cause cause everybody","arrogância   absoluta convicção  digo  país vai dar certo    causa   causa  todos"
"24","cause dreams - immense will see Brazil do right - because moment has matured Brazil everything works out","causa   sonhos –   imensa vontade  ver  brasil dar certo –  porque  momento amadureceu   brasil  tudo  dar certo"
"25","we must recover precious freedom people","recuperamos   deve ser  bem  precioso   povo  liberdade"
"26","peacefully despite spite hurts scars stand symbol new situations violence repeat turn page authoritarianism names different forms distorted republic since foundation","pacificamente  tranqüilidade  apesar  mágoas   cicatrizes  ficam   símbolo   novas situações  violência   repitam viramos  página  autoritarismo   nomes  formas diferentes desvirtuou  república desde   fundação"
"27","young people today painted face occupied streets demanding decency representatives so people generation learned value freedom lose it democracy is definitive conquest","jovens  hoje  pintaram  cara  ocuparam  ruas exigindo decência   representantes assim    pessoas   geração  aprenderam  valor  liberdade  perdêla  democracia é  conquista definitiva"
"28","nothing anyone will give up","nada  ninguém  farão abrir mão"
"29","recover confidence development","recuperamos  confiança  desenvolvimento"
"30","it's a matter of hope only","é   questão  esperança apenas"
"31","It's a passing euphoria two good years we ended up having","é euforia passageira  dois bons anos  acabamos  ter"
"32","better year","ano  melhor"
"33","Year comes even better","ano  vem melhor ainda"
"34","today serious specialist predict Brazil something else long period growth","hoje   especialista sério  preveja   brasil outra coisa    longo período  crescimento"
"35","favorable international conditions","condições internacionais  favoráveis"
"36","external debt burden suffocates","peso  dívida externa    sufoca"
"37","here in economy is long dry plant sound","aqui dentro  economia é   planta sadia   longa estiagem"
"38","roots - people companies produce wealth - resisted rigid inflation stagnation","raízes –  pessoas   empresas  produzem riqueza – resistiram  rigores  estagnação   inflação"
"39","survived","sobreviveram"
"40","came out strong ordeal","saíram fortes  provação"
"41","entrepreneurs knew how to innovate they knew how to redo factories offices knew how to overcome difficulties","empresários souberam inovar souberam refazer  fábricas  escritórios souberam vencer  dificuldades"
"42","Brazilian workers knew how to deal with arbitrariness recession challenges new technologies","trabalhadores brasileiros souberam enfrentar  agruras  arbítrio   recessão   desafios  novas tecnologias"
"43","reorganized unions to be able today to claim rights part cake economic growth","reorganizaram  sindicatos  serem capazes  hoje   reivindicar  direitos   parte  bolo  crescimento econômico"
"44","Time has come to grow flowers.","chegou  tempo  crescer  florescer"
"45","important today we know government make sustain growth economy","importante hoje  sabemos    governo   fazer  sustentar  crescimento  economia"
"46","let's do it","vamos fazer"
"47","in fact doing","aliás   fazendo"
"48","many doubted able to put own order home we started tidying up in these two years","muitos duvidaram   capazes  colocar  própria casa  ordem  começamos  arrumála nestes dois anos"
"49","give up freedom bill break contracts injure rights we end up overinflation","ceder  milímetro   liberdade  quebrar contratos  lesar direitos acabamos   superinflação"
"50","we must rethink directions economy president itamar franc won respect brazilian simplicity honesty","devemos      refizeram  rumos  economia    presidente itamar franco  granjeou  respeito  brasileiros   simplicidade  honestidade"
"51","moment leaves government surrounded esteem made merit thank you name nation itamar franco opportunities provided","momento   deixa  governo cercado  estima  fez  merecer agradeço  nome  nação  itamar franco  oportunidades   proporcionou"
"52","choose me succeed it absolute majority brazilian made option continuity real plan structural reforms necessary turn away all phantom inflation","escolher  mim  sucedêlo  maioria absoluta  brasileiros fez  opção  continuidade  plano real   reformas estruturais necessárias  afastar   vez  todas  fantasma  inflação"
"53","I will dedicate all energy president counting support congress states all living forces nation","dedicarei  toda  energia  presidente contando   apoio  congresso  estados   todas  forças vivas  nação"
"54","back freedom therefore","volta  liberdade portanto"
"55","development","desenvolvimento"
"56","lack of social justice","falta  justiça social"
"57","It is a great challenge for Brazil this century","é   grande desafio  brasil neste fim  século"
"58","government number target","objetivo número    governo"
"59","joaquim nabuco great propagandist abolitionism thought himself fellow members ""black race mandate"" - mandate given slaves because means reclaiming abolitionist rights so assumed heart feel slavery grasp shackles hold entire country arrested economic social political backwardness","joaquim nabuco  grande propagandista  abolicionismo pensava  si     companheiros  titulares   “mandato  raça negra” — mandato    dado  escravos pois    meios  reclamar  direitos    abolicionistas assumiam  assim  sentirem  coração  horror  escravidão   entenderem   grilhões  mantinham  país inteiro preso  atraso econômico social  político"
"60","horrified seeing compatriots - still Brazilians - seeing human beings subjugated side hunger disease ignorance violence","horrorizamos vendo compatriotas  –  ainda    brasileiros – vendo seres humanos   lado subjugados  fome  doença  ignorância  violência"
"61","can continue such abolitionism movement reforms I represent is against anyone","pode continuar tal   abolicionismo  movimento  reformas   represento  é contra ninguém"
"62","wants to divide nation wants to unite latin perspective tomorrow best everybody","quer dividir  nação quer unila  torno  perspectiva   amanhã melhor  todos"
"63","contrary nabuco well present mandate came free vote with fellow citizens","contrário  nabuco   bem presente    mandato veio  voto livre   concidadãos"
"64","majority regardless of social status","maioria  independentemente   condição social"
"65","came large numbers excluded Brazilians humble paid inflation count defend defended humiliated hospitals providence little give country factories fields offices offices roads streets hospitals schools construction sites claim justice because they have yes conscience disposition fight rights - I owe much of the election","veio    grande número  excluídos  brasileiros  humildes  pagavam  conta  inflação  terem   defender    humilhados  filas  hospitais   previdência   ganham pouco    dão  país  fábricas  campos  lojas  escritórios  ruas  estradas  hospitais  escolas  canteiros  obra   clamam  justiça porque têm sim consciência  disposição  lutar   direitos –    devo  grande parte  eleição"
"66","I will rule all","vou governar  todos"
"67","I need to end privileges few do justice immense majority Brazilians nobody doubts I'll be majority","preciso acabar  privilégios  poucos  fazer justiça  imensa maioria  brasileiros  ninguém duvide  estarei  lado  maioria"
"68","serenity is firmness","serenidade  é   feitio   firmeza"
"69","always seeking ways dialogue convincing evade responsibility decide","buscando sempre  caminhos  diálogo   convencimento   fugir  responsabilidade  decidir"
"70","knowing most Brazilians expect miracles to collect results every day government","sabendo   maioria  brasileiros  espera milagres    cobrar resultados  cada dia  governo"
"71","Because Brazilians came back to believe Brazil is in a hurry to see it better and better.","porque  brasileiros voltaram  acreditar  brasil  têm pressa  vêlo cada vez melhor"
"72","we see satisfaction increases interest other countries brazil","vemos  satisfação  aumenta  interesse  outros países  brasil"
"73","efforts consolidate democracy adjust economy attack social problems accompanied positive external expectation","esforços  consolidar  democracia ajustar  economia  atacar  problemas sociais  acompanhados  expectativa  positiva  exterior"
"74","all realize today slow transition times difficult other countries","todos percebem hoje     transição   lenta   vezes  difícil    outros países"
"75","it's because deep deep","é porque    ampla   profunda"
"76","time we restore democratic freedoms we start economy reform","tempo restauramos  liberdades democráticas  iniciamos  reforma  economia"
"77","we build solid ground move forward","construímos base  sólida  seguir adiante"
"78","support society change","apoio  sociedade  mudar"
"79","Do you know where we should go?","sabe   quer   onde devemos ir"
"80","fast pace fast communications opening brazilian economy leaving behind attitudes xenophobic effect cause relative closing past","rapidamente  ritmo veloz  comunicações   abertura  economia brasileira  deixando  trás atitudes xenófobas    efeito   causa   relativo fechamento  passado"
"81","none of this implies renouncing fraction sovereignty neglecting means garantila","nada disso implica renunciar   fração     soberania  descuidar  meios  garantila"
"82","commander-in-chief military will be attentive needs modernization reach levels operationality consistent strategic stature international commitments brazil","comandantechefe   forças armadas estarei atento   necessidades  modernização   atinjam níveis  operacionalidade condizentes   estatura estratégica    compromissos internacionais  brasil"
"83","In that sense, I will assign states to the new armed forces,","nesse sentido atribuirei  estadomaior  forças armadas novos encargos além   estabelecidos"
"84","I will be presenting proposals base studies being carried out joint navy army aeronautics conducting adaptation gradual forces forces defense demands future","determinarei  apresentação  propostas  base  estudos  serem realizados  conjunto   marinha  exército   aeronáutica  conduzir  adaptação gradual   forças  defesa  demandas  futuro"
"85","world postwar cold importance countries brazil depends only strategic military factors mainly stability internal politics general level welfare vital signs economy - capacity to grow generate jobs technological base participation international trade - diplomatic proposals clear objective viable","mundo pósguerra fria  importância  países   brasil  depende somente  fatores militares  estratégicos  sobretudo  estabilidade política interna  nível geral  bemestar  sinais vitais  economia –  capacidade  crescer  gerar empregos  base tecnológica  participação  comércio internacional –    propostas diplomáticas claras objetivas  viáveis"
"86","consistent national development project development should increasingly strengthen international scenario","realização   projeto nacional consistente  desenvolvimento deve  fortalecer crescentemente  cenário internacional"
"87","moment is favorable brazil seek active participation in this context","momento é favorável    brasil busque  participação  ativa nesse contexto"
"88","permanent values identity continue expressing foreign policy","identidade  valores permanentes    continuar  expressando   política externa"
"89","continuity means international field reliability","continuidade significa confiabilidade  campo internacional"
"90","abrupt changes disconnected long-term vision can satisfy short-term interests build profile responsible state","mudanças bruscas desligadas   visão  longo prazo podem satisfazer interesses conjunturais   constroem  perfil   estado responsável"
"91","However, we should be afraid to innovate interests that","devemos contudo ter receio  inovar    interesses  valores assim indicarem"
"92","phase radical transformations marked redefinition rules coexistence economic policy countries we can mere nostalgia backsliding history","fase  transformações radicais marcada  redefinição  regras  convivência política  econômica   países  podemos  mero saudosismo dar  costas  rumos  história"
"93","to be attentive to influence new order","sim  estar atentos    influenciar  desenho  nova ordem"
"94","it is time therefore to update discourse external action taking account changes international system new internal consensus relation objectives","é tempo portanto  atualizar  discurso   ação externa levando  conta  mudanças  sistema internacional   novo consenso interno  relação   objetivos"
"95","it is time to debate clearly must be profile brazil sovereign nation in this world transformation involving debate chancellery congress university unions companies government organizations","é tempo  debater  claras  deve ser  perfil  brasil  nação soberana neste mundo  transformação envolvendo  debate  chancelaria  congresso  universidade  sindicatos  empresas  organizações governamentais"
"96","we will retire old dilemmas ideological old forms confrontation face issues move cooperation countries countries today human rights democracy environment sustainable development expanded tasks multilateralism challenges regionalization dynamization international trade overcoming forms protectionism unilateralism","vamos aposentar  velhos dilemas ideológicos   velhas formas  confrontação  enfrentar  temas  movem  cooperação   conflito   países  dias  hoje direitos humanos  democracia meio ambiente  desenvolvimento sustentável  tarefas ampliadas  multilateralismo   desafios  regionalização  dinamização  comércio internacional   superação  formas  protecionismo  unilateralismo"
"97","other core issues access technology efforts proliferation fight forms international crime","outros temas centrais   acesso  tecnologia  esforços  proliferação  combate  formas  criminalidade internacional"
"98","we will value maximum condition universal presence both economic policy condition both allows deepening schemes regional integration starting mercosul explore dynamism europe unified naphta asia pacific","vamos valorizar  máximo  condição universal   presença tanto política  econômica condição  tanto  permite aprofundar  esquemas  integração regional partindo  mercosul  explorar  dinamismo  europa unificada  nafta  ásia  pacífico"
"99","still identify areas potential new international relations africa south postpartum","ainda identificar áreas  potencial novo  relações internacionais   áfrica  sul pósapartheid"
"100","we forget traditional relations african countries china continent continental dimension similar problems face economic development social struggle","esquecermos   relações tradicionais   continente africano   países   china  rússia   índia    dimensão continental enfrentam problemas semelhantes    esforço  desenvolvimento econômico  social"
"101","I Believe Brazil Place Reserved Countries Welcome Planet Next Century","acredito   brasil   lugar reservado   países bemsucedidos  planeta  próximo século"
"102","convinced single major obstacles we will face occupy place come internal imbalances - extreme inequalities regions social groups","convencido    únicos obstáculos importantes   enfrentaremos  ocupar  lugar vêm   desequilíbrios internos –  desigualdades extremas  regiões  grupos sociais"
"103","we know development world country today measures quantity things produces","sabemos   desenvolvimento   país  mundo  hoje   mede  quantidade  coisas  produz"
"104","true degree development measures quality attention country gives people","verdadeiro grau  desenvolvimento  mede  qualidade  atenção   país dá   gente"
"105","culture people","gente    cultura"
"106","world communication is global instant time public fragments specialize cultural identity makes cement nations","mundo    comunicação é global  instantânea      tempo  públicos  fragmentam   especializam  identidade cultural torna  cimento  nações"
"107","people great cultural homogeneity","brasileiros   povo  grande homogeneidade cultural"
"108","regionalisms constitute variations basic culture born encounter tradition occidentalportuguesa african indigenous","regionalismos constituem variações   cultura básica nascida  encontro  tradição ocidentalportuguesa   africana   indígena"
"109","intellectual artists cultural producers expression genuine people","intelectuais  artistas   produtores culturais   expressão genuína   povo"
"110","I want to prestige them to give constructive conditions citizenship because citizenship besides being right individual is pride to be part country own style values","quero prestigiálos  dar condições    construtores  cidadania pois  cidadania além  ser  direito  indivíduo é   orgulho  fazer parte   país   valores  estilo próprios"
"111","priorities proposed voter majority passed directly affect quality of life people employment health safety education food production","prioridades  propus  eleitor    maioria aprovou    repercutem diretamente  qualidade  vida  pessoas emprego saúde segurança educação produção  alimentos"
"112","generation jobs will resume growth automatically","geração  empregos virá   retomada  crescimento   automaticamente"
"113","government will be committed to specific programs in this regard","governo estará empenhado  programas  ações específicas nesse sentido"
"114","will play whole big challenge - it's brazil is only from this region that is all just excluded - reduce inequalities to end","jogará  inteiro  grande desafio —  é  brasil   é apenas desta  daquela região  é  todos   apenas  excluídos —  diminuir  desigualdades  acabar"
"115","access hospitals respect care elimination unnecessary waits combat waste fraud elements as indispensable good management health as there are adequate funds","acesso  hospitais respeito  atendimento eliminação  esperas desnecessárias combate  desperdício   fraudes  elementos tão indispensáveis  boa gestão  saúde quanto  existência  verbas adequadas"
"116","health be looked at - this is going to be government - mainly prevention illness disease cure","saúde   ser encarada –  assim vai ser   governo – principalmente   prevenção  doença      cura  doença"
"117","modern vision health includes basic sanitation vaccination mass adequate nutrition sport all","visão moderna  saúde inclui saneamento básico vacinação  massa alimentação adequada esporte  todos"
"118","school needs to come back to be a teaching center","escola precisa voltar  ser  centro  processo  ensino"
"119","school is teacher function - salary recovery mainly basic education is","escola  é   função  professor –   recuperação   salário principalmente  ensino básico é"
"120","It is place of living where action parents solidarity social environment participation pupil teacher good administration add form citizens","é  lugar  convivência onde  ação  pais  solidariedade  meio social  participação  aluno   professor   boa administração  somam  formar cidadãos"
"121","give leap imposes threshold new millennium we can live illiteracy without mass illiteracy","dar  salto   impõe  limiar  novo milênio  podemos  conviver   analfabetismo   semianalfabetismo  massa"
"122","it is poor illusion to find mere consumption trinkets will make ""modern"" children continue to pass school absorb minimal indispensable knowledge live pace modernity","é  pobre ilusão achar   mero consumo  quinquilharias vai  fazer “modernos”   crianças continuarem passando  escola  absorver  mínimo indispensável  conhecimento  viver  ritmo  modernidade"
"123","arrives to construct pharaonic schools fills the poorly paid teachers ill prepared together students unmotivated conditions psychological materials to have good use","chega  construir escolas faraônicas   enchêlas  professores mal pagos  mal preparados junto  estudantes desmotivados   condições materiais  psicológicas  ter  bom aproveitamento"
"124","to exert fullness of mandate to end misery we must end spiritual misery","exercermos  plenitude  mandato  acabar   miséria é preciso  acabar   miséria espiritual"
"125","modern communication means help in this task","meios modernos  comunicação  ajudem nessa tarefa"
"126","side information fun let's engage tvs true national crusade rescue citizenship through education starting intense action literacy cultural training","lado  informação   divertimento vamos engajar  tvs  verdadeira cruzada nacional  resgate  cidadania através  ensino começando   intensa ação  alfabetização  formação cultural"
"127","mission starting today is making priorities people government priorities","missão  partir  hoje é fazer    prioridades  povo    prioridades  governo"
"128","will demand wide government machine reorganization","vai demandar  ampla reorganização  máquina  governo"
"129","administration deteriorated years overruns financial crunch","administração   deteriorada   anos  desmandos  arrocho financeiro"
"130","clientelism corporatism corruption suck money taxpayer before arrive should be legitimate beneficiaries government actions mainly social area","clientelismo  corporativismo   corrupção sugam  dinheiro  contribuinte antes  chegue   deveriam ser  beneficiários legítimos  ações  governo principalmente  área social"
"131","cpis congress energetic measures taken government itamar franco began cleaning of these parasites last two years","cpis  congresso   providências enérgicas tomadas  governo itamar franco começaram  limpeza desses parasitas  últimos dois anos"
"132","it will be necessary to move many beekeepers to complete cleaning make structural reforms necessary to give efficiency public service","vai ser preciso mexer  muitos vespeiros  completar  faxina  fazer  reformas estruturais necessárias  dar eficiência  serviço público"
"133","scare","assusta"
"134","I know support majority nation including many employees have love public service","sei    apoio  maioria  nação inclusive  muitos funcionários  têm amor  serviço público"
"135","important truth support is government person president","apoio  importante  verdade  é  governo   pessoa  presidente"
"136","it's support able to give other brazilians support all brazil","é  apoio   capazes  dar uns  outros  brasileiros   apoio  todos  brasil"
"137","true social revolution mentality will happen contest society","verdadeira revolução social   mentalidade  irá acontecer   concurso  sociedade"
"138","government role key i will take care paper","governo   papel fundamental   cuidarei   cumpra  papel"
"139","congress approve changes constitution laws - some which pointed out speech dismissal senate - public opinion mobilize good intentions die speeches","congresso aprove  mudanças  constituição   leis – algumas  quais apontei   discurso  despedida  senado –     opinião pública  mobilize  boas intenções morrem  discursos"
"140","we need to sew new forms participation society process changes","precisamos costurar novas formas  participação  sociedade  processo  mudanças"
"141","fundamental part of this awareness of this citizen's claim of this mobilization will depend mass media communication","parte fundamental dessa tomada  consciência dessa reivindicação cidadã  dessa mobilização vai depender  meios  comunicação  massa"
"142","fundamental communication media redemocratization have been basic recovery morality public life","meios  comunicação  fundamentais   redemocratização  têm sido básicos   recuperação  moralidade  vida pública"
"143","now have reserved central role mobilization all society just better always maintaining independence critical passion truthful information","agora  têm reservado  papel central  mobilização  todos   sociedade  justa  melhor mantendo sempre  independência crítica   paixão  veracidade  informação"
"144","Brazilians can be informed can be critical policies put practice folklore facts several everyday life can put perspective events collect coherence action make judgments intent will be exercise citizenship","brasileiros puderem ser  informados  puderem ser  críticos  políticas postas  prática    folclore  fatos diversos  vida cotidiana  puderem pôr   perspectiva  acontecimentos  cobrar   coerência  ação   fazer julgamentos  intenção  capacitados vão estar   exercício  cidadania"
"145","feeling move support all country name solidarity","sentimento  move  apoio  todos  país   nome solidariedade"
"146","is makes leave circle small interests particular help neighbor colleague countryman close distant","é    faz sair  círculo pequeno   interesses particulares  ajudar  vizinho  colega  compatriota próximo  distante"
"147","Brazilian Solidarity People","brasileiros   povo solidário"
"148","let's make this feeling big spring joint national government joining community sweep map brazil famine misery","vamos fazer desse sentimento  mola  grande mutirão nacional unindo  governo   comunidade  varrer  mapa  brasil  fome   miséria"
"149","let's ensure decent life kids taking off streets mostly putting on shameful massacres massacres young children","vamos assegurar  vida decente   crianças tirando  abandono  ruas  sobretudo pondo  paradeiro  vergonhosos massacres  crianças  jovens"
"150","we will ensure energy equal rights equal women majority people what countries must respect opportunities education work racial minorities some almost minorities - mainly black - expect equality word portrait reality indigenous groups some living witnesses human archeology all witnesses diversity","vamos assegurar  energia direitos iguais  iguais  mulheres    maioria   povo   quais  país deve respeito oportunidades  educação   trabalho  minorias raciais   algumas quase minorias –  negros principalmente –  esperam  igualdade      palavra  retrato   realidade  grupos indígenas alguns  testemunhas vivas  arqueologia humana  todos testemunhas   diversidade"
"151","let's make solidarity leaven citizenship seeks equality","vamos fazer  solidariedade  fermento   cidadania  busca  igualdade"
"152","hope see brazil free prosperous fair pulsate each time strong breast each brazilian great certainty","esperança  ver  brasil livre próspero  justo   pulsar cada vez  forte  peito  cada brasileiro   grande certeza"
"153","I want to leave word","encerrar  discurso quero deixar  palavra comovida  agradecimento"
"154","Generous country nation determined elected first turn","povo   país  generoso  determinado elegeu   primeiro turno"
"155","so many follow political struggles","tantos   acompanham  lutas políticas"
"156","family knew to understand history challenges","família  soube compreender  desafios  história"
"157","congress belonged today in this ceremony proclamation electoral justice sworn president republic","congresso   pertenci  hoje   nesta cerimônia   proclamação  justiça eleitoral  empossa  presidente  república"
"158","heads state delegations foreign countries friends came to prestige act","chefes  estado   delegações estrangeiras  países amigos  vieram prestigiar  ato"
"159","invited","convidados"
"160","all citizen citizens of brazil who I ask for a lot of faith a lot of hope a lot of trust love work","todos  cidadãos  cidadãs deste  brasil  quais peço   vez muita fé muita esperança muita confiança  amor  trabalho"
"161","I invite you to change Brazil","convoco  mudar  brasil"
"162","thank you","obrigado"
"163","",""
"164","I appear before the national congress to receive second time high distinction public man can aspire","compareço perante  congresso nacional  receber  segunda vez   alta distinção    homem público possa aspirar"
"165","thank you million brazilian young young people live cities so fields vote paid ideas defended changes undertaking","agradeço  milhões  brasileiras  brasileiros  jovens   idosos   moram  cidades assim   campos    voto sufragaram  ideias   defendido   mudanças   empreendendo"
"166","I know responsibility I assume","sei  responsabilidade  assumo"
"167","concede, president, republic, possibility, new, mandate, congress, first, people, Brazilian, accredited, require, me, any, other, president, before","concederem  presidente  república  possibilidade   novo mandato  congresso primeiro  povo brasileiro  credenciaram  exigir  mim     qualquer outro presidente antes"
"168","I will dedicate all ability dedication correspond expectation Brazilian nation","empenharei toda  capacidade  dedicação  corresponder  expectativa  nação brasileira"
"169","ready for a new journey","pronto   nova jornada"
"170","I feel renewed support for the Brazilian people","sinto renovado  apoio generoso  povo brasileiro"
"171","experience I could learn both correctness and error first mandate","experiência    pude aprender tanto  acertos quanto  erros   primeiro mandato"
"172","last years brazil renovated physiognomy construction roads strategic relevance four waterways number ports airports","últimos anos  brasil renovou  fisionomia   construção  estradas  relevância estratégica quatro hidrovias   número  portos  aeroportos"
"173","promoted jump production energy revolution telecommunications","promoveu  salto  produção  energia   revolução  telecomunicações"
"174","has changed","mudou"
"175","I speak change I think something profound comprehensive capillary touches everyday every Brazilian improves lives","falo  mudança penso  algo  profundo abrangente  capilar  toca  quotidiano  cada   brasileiros  melhora  vidas"
"176","millions could feed better children to account where democracy stability economy seriousness government reason be scourge famine","milhões puderam alimentar melhor  filhos  dar conta   onde  democracia estabilidade  economia  seriedade  governo   razão  ser   flagelo  fome"
"177","thousands access reserved before small elite always could everything","milhares  acesso  bens  antes  reservados   pequena elite  sempre pôde tudo"
"178","thousands realized aspiration as old as legitimate to buy home own comfort","milhares realizaram aspiração tão antiga quanto legítima  comprar  casa própria  morar   conforto"
"179","others perceived solidarity action governments prefectures master parents promoting transformation deep schools hope founded better quality teaching","outros perceberam   ação solidária  governos   prefeituras  pais   mestres  promovendo  transformação profunda  escolas   esperança fundada  melhor qualidade  ensino"
"180","She is a teacher in poor areas of Brazil.","é  professora  áreas pobres  brasil  ganha     oportunidade  reciclar"
"181","It's time for lunch, it's nutritious.","é  livro  chega  tempo   merenda  é  nutritiva"
"182","is avoidance decreases while second degree enrollment increases","é  evasão  diminui enquanto  matrícula  segundo grau aumenta"
"183","health, nightmare, all Brazilians, resources, better management, health care, family, fight, obstinate, fraud, showing, path, future, effective, universal, free, quality, prescribes, constitution, few developed countries have managed to ensure","saúde   pesadelo  todos  brasileiros   recursos melhor gerenciamento  atenção  saúde  família   combate obstinado  fraude  mostrando  caminho  levará  futuro   efetivo atendimento universal gratuito   qualidade  prescreve  constituição   poucos países     desenvolvidos conseguiram assegurar"
"184","so changes occur in several other social areas","assim ocorrem mudanças  várias outras áreas sociais"
"185","however many transformations still resist seeing new Brazil sprouting under eyes","obstante todas  transformações muitos ainda resistem  enxergar  brasil novo   brotando sob  olhos"
"186","reluctant to recognize advancing competing adapting new times various plans globalization restructuring state revitalization culture","relutam  reconhecer   avançando competindo   adaptando  novos tempos  vários planos   globalização   reestruturação  estado   revitalização  cultura"
"187","changes give confidence different real generation","mudanças dão  confiança    geração  real  diferente"
"188","children best life opportunities","filhos    melhores oportunidades  vida"
"189","everything started new currency","tudo começou   nova moeda"
"190","real great water divider","real   grande divisor  águas"
"191","before inflation income concentration","antes   inflação  concentração  renda"
"192","stability start income distribution","estabilidade   início  distribuição  renda"
"193","Brazilian could predict end month plan next year put on table true agenda needs","brasileiro pôde prever  fim  mês planejar  ano seguinte  colocar sobre  mesa  agenda   verdadeiras necessidades"
"194","Restored Trust Save Invest","restaurou  confiança  poupar  investir"
"195","state began to be transformed render efficient to avoid waste provide services better quality population","estado começou  ser transformado  tornar  eficiente evitar  desperdício  prestar serviços  melhor qualidade  população"
"196","let it be state makescontact all remains essential instrument guarantee services poor population generate conditions increase production ensure basic rights all","deixa  ser  estado fazcontafaztudo  continua  ser  instrumento fundamental  garantir serviços   população  pobre gerar  condições   aumento  produção  assegurar  direitos básicos  todos"
"197","brazil came back to be respected outside","brasil voltou  ser respeitado  exterior"
"198","investments multiplied generating new horizons in Brazil.","investimentos estrangeiros multiplicaram gerando novos horizontes   brasileiros"
"199","external plan brazil reaps fruits democracy economic stability renewed market potential stability","plano externo  brasil colhe  frutos  democracia  estabilidade econômica    renovada confiança  potencial   mercado"
"200","country makes world relevant","país torna  relevante   mundo"
"201","time world makes relevant well being brazilians","tempo  mundo  torna  relevante   bem estar  brasileiros"
"202","international system where interdependence increases is unavoidable affected events originated other regions distant world","sistema internacional onde aumenta  interdependência é inevitável   afetados  eventos originados  outras regiões  mundo    longínquas"
"203","problems others make","problemas  outros tornam"
"204","problems directly affect other countries.","mesma forma  problemas passam  afetar  diretamente outros países"
"205","never need brazil know how to identify national interests speak firmness defend them international forums","nunca é necessário   brasil saiba identificar   interesses nacionais  falar  firmeza  defendêlos  foros internacionais"
"206","national interest today","interesse nacional hoje   coaduna  isolamento"
"207","affirmation sovereignty participation integration detachment","afirmamos  soberania  participação   integração   distanciamento"
"208","is making mercosul - irreversible priority dimension diplomacy","é    fazendo  mercosul – dimensão prioritária  irreversível   diplomacia"
"209","is realizing creation integrated space peace democracy prosperity shared south america","é    realizando   criação   espaço integrado  paz democracia  prosperidade compartilhada  américa  sul"
